	Blissymbolics, world writing
	choosing (reasoned), choice (?)
	choices (reasoned)
	choosing (conscience)
	counter purpose
	of, about, on
	at, on, here, in
	either
	neither
	for, in favour of, to
	here
	therefore, consequently, by, causes
	why?, what cause?
	because
	of, by, on
	or
	nor
	against
	there
	by, caused by
	and, to, also, positive, plus, with, too, further, besides, et
	etcetera, furthermore, as well as, along with, over and above, in addition to, in conjunction with
	with (help with)
	belongs to, 's (possessive)
	from same (repeat with possession)
	minus, negative, without
	without
	without
	many, much, well, very, multi, group (meaning added to other symbols)
	very much, very many
	how much?, how many, quantity
	few, little
	very few, very little
	many things (?), group (physical)
1	once, single, one times
2	twice, double, two times
3	thrice, triple
1	once
2	twice
	always, all times, constant
	never (?)
	regular
	usual
	unusual
	more
	to increase
	to be increased, will increase
	less, reduce, reduction, decrease
	prefer
	most, best, formal
	mostly, essentially
	least
	the muchness
	all (within limits)
	all (everything)
	nothing, none
1	each, every
1	only, single, singular
2	pair
12	dozen
144	gross
1	to single out, to sample
2	double
3	triple
1	unit, sample, example
1	first
1	to make first
1	firstly, first
1	fundamental (?)
1	uniqueness, singularity, entity, novel
1	spontaneous (?)
2	second, next
3	third
1	last
	forward, to, progress, go, on, advance, dynamic, direction, way, path
	forward, progressive
	forwardable, progressable, transmissive (?)
	progressed, transmission (?)
	moving forward, progressing, pushing, push
	moving forward, progressing, pushing, push
	to have moved forward, to be progressed, to be transmitted (?)
	progressed thing, forwarded, the transmission (?)
	forwarded, will proceed
	proceeded, transmitted (?)
	sender
	receiver, addressee
	backward, return, reverse, retreat
	moving backward, returns
	backwards, regressive
	regressed thing
	to and fro, vice-versa
	attraction
	to meet
	conformity, concord, harmony, agreement
	conform, harmonise, agree
	agree (?), accept (?)
	the conformity
	competition, race, versus
	racing, competing
	to race, to compete
	to be competitive, to be racy
	racingly, competitively
	raceable, competable
	raced, competitive
	shall race, shall compete
	did race, did compete
	been competitive, been racy
	the race, the competition
	obstacle, opposition, difficulty, trouble, counter force, complexity (?)
	in spite of, spite
	in spite of, though, although, notwithstanding, nevertheless
	success
	up (arrow), goes up, lift, take off, rise, shift (?)
	the lift, the rise, offset (?)
	remove, to lift, increasing, rising
	raised, drew up
	down (arrow), goes down, drop, fall
	put down
	downward
	up and down
	shake, vibrate
	collection, meeting, gathering
	gathering
	meeting
	separation
	repulsion, separate
	to repulse, to separate
	expansion
	distribution
	moving up
	moving up
	moving down
	moving down
	start, begin, depart
	startable, transmissable (?)
	commenced (adjective), transmitting (?)
	to start, to begin, starts, sends (?), transmits (?)
	to start, to begin, starts, sends (?), transmits (?)
	to have started, begun
	will depart, will start, will begin, depart, to start, start
	started, flared up
	departure, dispatched, leave, send
	will depart, will leave, will send
	approach, approaches, arrives
	coming, arriving, come, will come
	arrival, stop, end, to, off, halt
	stop, terminate
