	Blissymbolics, world writing
	medicine, medical
	medical practitioner
Dr	doctor of medicine
	nurse
	medical science
	first aid station
	pharmacy, chemist (BPB)
	bandage
	to bandage
	medicine, pharmaceutical
	liquid medicine
	medical tool to hear heart
	stethoscope
	stethoscope (abbreviated)
	medical tool to inject liquids
	syringe
	subcutaneous injection, injection, to inject
ILEUMCOLON	intussusception
	money, cash, price
	money
	currency, unit of money
	business, trade
	business man, trader, merchant
	company
	company limited, Pty Ltd
	insurance business
	premium, insurance premium
	policy, insurance policy
	fire insurance, insurance against fire
	transport insurance
	war risk insurance
	to pay, payment, to cash
	payment, paid
	payment, payment due, shall make payment, will pay
	part payment, instalment
1	down-payment, first payment
	monthly instalment
	advance payment, money to be paid before
	margin, part advance payment, repayment
	gratis, free
	to receive money, payments
	shall receive, shall get the money, charge
	received, receipted, money received
	docket, receipt, paper
	paper on money
	security, securities
	share, shares
	share
	company on shares
	stock exchange
	bonds
	to hold money
	holdings
	holding money for future, saving,reserving money
	savings, reserve
	credit
	creditor
	debit
	debtor
	letter of credit
	profit, gain
	loss
	assets
	liabilities
	accrual, accrued income, money to come in
	loans received
	payment for goods received, accrued expenses
	tax payment, payment for taxes
	tax, taxes
	buy, purchase, book
	sell, sale
	interest
	safe
	night safe
	bank
	bank rate
	banker, bank man
1	bank manager
	department (of bank)
1	department manager
	loans department
	clearing
	notes, paper money
	coins, coin
	coins
Au	gold
Ag	silver
Ni	nickel
Cu	copper
Al	aluminium
	cheque
	cheque book
	bank cheque, bank draft
	rate of exchange, exchange rate
	rate of exchange
	exchange, money exchange
	transfer, funds transfer
	account
	ledger
	accountant
1	chief accountant
	surplus (?), account plus
	overdraft
	settling account
	duplicates
	statement
	safe custody
	penniless
	bankrupt, bankruptcy
	price
	price
	amount, total sum, total
	dear, expensive
	much
	most expensive
	cheap, bargains
	valuable, valuables
	business house
	office
	shop, store
	order
	invoice
	purser
	carrying fee, carrier fee, courier fee
	free delivery, no carrying fee
	bill of lading, transport document
	disc, pill
	music, musical note
	musician, band
	composer
	beat (?)
	to cross out, to blot out, destroy, cancel
	destructive
	destroyable, disintegratable, crumbly
	destroyed
	cross, blot, extinguish, delete
	to destroy (active)
	to be destroyed (passive), disintegrates (?)
	shall destroy
	have destroyed, did destroy
	been destroyed
	the destruction (unit of action)
	the destruction (thing destroyed)
	a ruin
	equal, equals, are, same
	equally, identical, match
	equalable, equality
	equalled, matched
	to equal
	to equal, the matching
	to be equalled, equalisation (?)
	shall equal
	did equal
	been equalled
	the equal
	the equalling
1	the equal
	not equal, different
	the inequality, difference
	inequalities, differences
	is proportional to (?)
	thing, chemical thing
	what?
1	piece
	solid, solid thing
	melting
	solidifying
	solid to gas, 1st phase of sublimation
	gas to solid, 2nd phase of sublimation
	metal
	solidifying metal
	casting metal
	melting metal
	corrosion of metal
	metal ore
	high grade
	low grade
	raw material, material
	crystal
	to crystallise
	crystalline, crystal like
	classification of crystals
	crystal axis
	classification of crystal by axis
	allotropy
	thing on earth
	soap
	overlap (?)
	conjunction, junction, joint, union, combination, coalition, alliance, connection, link, couple
	to connect, join, unite, combine, to link, to couple
	joining tool
	connection, junction (basic)
	to connect, join, unite (basic)
	joining tool (basic)
	chains
	to chain
	chain (basic symbol)
	gas
	gas-filled
	vacuum
	evacuated
	evacuating
	liquid to gas
	gas to liquid
	thermometer
	the thermometer
	measuring heat, using a thermometer
	tripod
	glass flask, Erlenmeyer
	cock, tap
	burette
	temperature:
C	temperature (C)
	rising temperature
	falling temperature
	boiling point of water, boiling point
	boiling point (any liquid)
	melting point of metal
	melting point (any solid)
	kindling point
	measuring pressure of gas
	manometer, air pressure
	measuring gas pressure, using a manometer
	filter process
	funnel, filtration
	filtration (laboratory)
	the filter
	to filter
	filtered
	have filtered
	will filter
	test tube
	calibrated cylinder, measuring glass
	solution
	solution
	soluble
	dissolved
	solubility
	solvent
	solute
	concentrate, concentration
	dilute, dilution
100%	saturation
	precipitation
	solution plus sediment
	solution plus crystal sediment
	diaphragm
	filtration (in industry)
	osmosis
	dialysis (colloid-solution)
	ionisation
	ionisation
	action, the act, physical action, Affairs
	to act
	stable (position)
	how, what action
	so
	to act
	to work, occupation, job
	work like, yacka (adverb)
	workable
	worked, jobbing (adjective)
	to work, works
	to work, works
	to be worked, to be employed
	shall work, will work
	did work, have worked
	the work (unit of action)
	the job, the occupation
	the works, the jobs, the occupations
	the working (verbal noun)
1	the work (verbal noun)
	toilers
	laboratory
	project (?), collection of work (?)
	present, presence
	now, just (should be ""?)
	current (BCI 13624)
	make current, update (?)
	past
	happy memory
	unhappy memory
	future
	then, ago, when
	then, hence, when
	evaluation, the value, human evaluation
	labile, unstable (position)
	to evaluate
	ability, the active ability, to enable
	ability, the passive ability
	quality, value, rational evaluation
	can, being able, actively can
	can, being able, passively can
	able
	unable
	how, what quality
	nature, creation, safety sign, universe, triangle
	creature
	created
	warning!, safety warning, danger, beware
	alarm bell
	alarm sound, alarm
	the structure of nature
	structured (?), natural (?)
	man made, make, prepare, produce
	man made
	to make, made, to prepare, to produce, to process
	was made, produced
	will make
	manufacturing, industry
	to hide, to conceal (BCI 14710)
	supra natural, supra-natural
	creator, god
	opposition
	heart, conscience, emotion, passion, imulse, id
	heart
	to feel, feeling
	emotional, impulsive
	happiness, uplifting, joy, happy
	will be happy, shall be happy
	sadness, downheartedness, worry, unhappiness,  sad, sorrow, sorry, unhappy
	sadly, deplorably
	jubilant, jubilation, delight, delightful
	bliss, rapture
	little enjoyment
	hardly pleased
	grief, depression
	desperation, desolation
	strong feeling, ardor, zeal
	passion, ecstasy
	emotionless, feelingless
	surprise
	was surprised
	astonishment
	sensation
	excitement
	please
	thanks, thank you
	humour
	smile
	laugh
	haughty, proud
	humble, meek
	to like, liking, good
	famous
	to dislike, disliking, bad
	freedom, liberty
	liberty, freedom, free
	oppression, oppressive, oppressed, tyranny
	feeling of worries
	harmony
	disharmony
	much emotion
	passion, ecstasy
	attraction
	repulsion
	feeling opposed, feeling of opposition, against (emotional)
	anger
	fury
	luck
	cruel, cruelty
	hunger
	thirst
	behaviour
	play
	fear
	to fear
	fear, will fear
	feared, a danger
	hope
	hope, happy anticipation
	safe, feeling of protection, feeling of security
	security, protection
	rest, calm
	disturb
	peace (of mind)
	tolerance
	hospitality
	Dear (introduction), sincerely
	believe it
	truth
	mind, emotion, means
	brain
	thinking, thought, intention, to think, thinks, to mind, thoughtful, mindful
	have thought
	shall think, will think
	reason, ego, reasoning, rational thought
	super ego (conscience)
	brain conscience
	to moralise
	morally, conscientious, moral
	conscience
	intelligence
	vision
	thoughtless
	human evaluation
	doubt
	doubt
	certainty
	certainty
	certain
	probability
	improbability
	guess, hypothesis
	hypothesise, assumes
	the guess, the hypothesis, the assumption
	classification, type, category
	the classification, the category, the type, the format (?)
	to classify
	to classify
	to classify as, to be classified
	classified
	will classify
	typical
	interest
	strong interest
	idea, mind flash
	the interest
	correct
	correctingly
	correctable
	corrected (adjective)
	to correct
	to correct
	to be corrected, correction
	shall correct
	did correct
	been corrected
	the correct (unit of action)
	the correction (thing transformed)
	the correction
	corrections
	good
	could be good
	incorrect
	bad
	tolerance
	moral tolerance
	right, good
	very right
	wrong, bad, immoral
	very wrong
	evil
	the wrong, the evil
	elation
	depressive
	shame
	apology
	opinion
	opinion (voiced), to opine
	the opinion
	observation
	observable, perceivable
	perceived, observed (adjective)
	perception, to observe
	perception, to observe, to perceive
	to be perceived, to be observed
	shall perceive, shall observe
	did perceive, did observe, observed
	been observed, been perceived
	the perception
	intent, purpose of mind
	proposal, propose
	to propose, proposing, suggest (?)
	will propose
	did propose, proposed, recommended
	proposals
	proposal
	opposition, contradiction, objection
	oppose (?), reject (?)
	opposition, contradiction, objection
	worries, troubles, trouble
	progress
	spite, courage
	success
	wish, desire, want
	desire, wish, want, like to have, like
	lust, desire, glutton
	stupid
,	idiot
	drawing the line
1	egoistic
1	egotism
2	altruistic
2	altruism
	hairdresser, hair
	shall be responsible, be responsible
	use, useful
	to use
	to use, using
	to be used
	useful
	useable
	used
	shall use
	did use
	been used
	the use (unit of action)
	uses
	directions
	security
	security, contemplated security
	select, elect, vote
	electable, selectable
	elected (adjective), selected
	to elect, to select
	to be elected, to be selected, selection (?), candidate (?)
	shall elect, shall select
	did elect, did select
	been elected, been selected
	elections, selections
